sentiment,STEMMED
1,polisi ampe s tolol banget anjing gabisa tilang jabat aja kat
-1,klaus emang tolol
1,beli rb nyesel awet
1,always beli earphone nya samsung model langsung beli samsungnya
1,beliin
1,tolol anjing translate nya gimana
1,gamau tolol aja kalo iya
1,beli bis rebu
-1,tolol tolol otak udah banyak maksiat
1,market place merek ginian dapet
1,beli
1,beli 
-1,tolol banget
1,banyak main hp udah tolol banget
1,kalo pinter tolol
-1,mikirin tolol banget muti
1,pinter sapa tolol sapa
1,tebus murah k an aja
1,rebu
1,rb
1,eh iya sempet beli kayak gin awet aja pake tidur
1,gada ngllink buka akun ig begitutolol banget
-1,tolol banget
1,kesini dunia tolol
-1,apa kah tolol
1,lol tolol maksud 
1,duh nyesel
1,tolol anime hokage
1,laper tolol banget enih jari
1,mantep cobain aja beli
1,hha jancok tae maksud bg jeka gitu heh tolol koncek bantuak
1,ayam bebek beda spesies tolol laki laki perempuan manusia 
1,gin tolol kasi tau bayang bayang orang gang nonmus dijadiin muslim 
1,emang tolol anak caoek
1,main tolol puji
1,isukana geus ruksak
1,kak kalo earphone nya dipake doang dengerin samb
1,rio tolol tolol kali bangsat ni orang stop tolol
1,gara gara bego bawa bendera palestine hujat negara tolol
-1,orang tolol dunia
1,liat laku tolol tolong baik
1,proses siri bincang umno keras mahu bebas kluster mahkamah anwa
1,januari kemarin gagal suka adem
1,bank bpjamsostek bank bri bni bjb btn mandiri
1,reklamasi dukung opung luhut tri urus gagal tanagan anies
1,orang sukses orang gagal serah
1,de paula beli jdt beliau minit main rana johor
1,jujur cape main gagal fullcomb mulu
1,suka gagal kalo ambil selca kayak gini hp butut tangan suka tremor
1,gagal bangkit turut arti kuat hinta hyuuga
1,iyaa banget banyak whatsapp fake beneran bejejer jej
1,pake paypal kaya emang engga bener admin go pake paypal gagal
1,min upgrade ovo premier gagal scan wajah crash mulu appsnya fixing
1,gagal hidup sehat
1,kaya berat naikkin harga pertalite itu bijak populisnegara udah gagal
1,special delivery hidup jang eun kurir antar paket khusus gagal mi
1,orang sukses lebih orang gagal lebih alas
1,halo true mau jalan menyesa
1,orang sukses lebih orang gagal lebih alas
1,selamat siang djp online download e form gagal und
1,mass paham maksut politik yakan gab
1,sengsara gagal sukses
1,ngutuk rezeki cuman tau laluin tahun susa
1,yuk sayang beban
1,tsk adara decak cerita anggap dongeng anak anak keha
1,letak beban soket selamat
1,capek hidup sapi perah dikatain beban
1,beban mental lumayan
1,go jt wangsit buku k gojek bolak les yallah k les les minggu sadar
1,atur terbang bbm pakai jalan lebih konsumsi
1,tuju utama sebenernya adik pergi ngejar ambisi mikir k
1,alhamdillah latih motor sel tetap beban temen
1,biasa cuci piring kotor dapur cepat laku beban jaga bersih dapur ringan
1,kalo kaya gin mending solo beban
1,iya enak bangun bangun udah gada beban
1,senang beban
1,ekspektasi masyarakat tampil anies rasyid baswedan jadi biaya kampanye capresnya san
1,senyum beban
1,tatap langit bagi cerita harap beban bagi teriak semesta cu
1,anak ngerti ngmg aja emang sbnrnya kakak tai dibilangin peduli da
1,happy beban hidup
1,neil ryan percaya scott main mufc tanggung beban sa
1,main oke troll ganggu menang tim beban sat orang all ro
1,pengecut kolak
1,pengecut apa
1,follow akun pengecut kayak gin min ampun
1,pengecut zonk cermin runahnya
-1,oalaah pengecut
1,biar pengecut pengecut tualang sherina
1,pengecut mati kali mati berani mati mutiarakata
1,mati diri hati diri pengecut versi live rilis channel youtube malam
1,pengecut jatuh hati perhati pasti fiersa besa
1,bilang aja kalo udaa orang udah sayang asa udah basi hubung
1,berani berani aku pengecut pasang najib aka curi ni
-1,lari dasar pengecut kamado tanjiro
1,gitu pengecut gaberani akun base bikin ricuh
1,pengecut gitu maennya dibase
1,emang jiu pergi sepenuh salah joe berani ngomong sej
1,bacoot share lok aja cundang pengecut
1,aja cakep kalo harga d rkbot gilir depan gaberani kalo diblkg ngmgin pengecut d rkbot
-1,pake akun pengecut lagak sok jago
1,muskoplak laki pengecut nusantara b hukum p buat s
-1,mental pengecut gantung bahagia orang kalo lepas depresi b
-1,main playing victim entar biar kaum mek dateng pengecut
-1,sumpeh kaya benci orang tolol goblok pengecut kenal bacot but
1,pengecut
1,tindas lemah menang lawan kuat pengecut ishida bleach
1,lari dasar pengecut kamado tanjiro
1,beking pengecut 
1,manajemen udah mannered pengecut
1,pengecut jatuh hati perhati pasti
1,turun nama pengecut pengecut pion dijadiin tumbal
1,pengecut
1,pengecut jatuh hati perhati pasti
-1,stress orang iri blg boss pengecut banget
1,mati diri hati diri pengecut versi live rilis channel youtube malam
1,orang orang hukum keroyokan pengecut 
1,pengecut loh
-1,ciri ciri pengecut
1,ganti presiden inkonstitusional sampe kaos aja larang jokowi 
1,pengecut sender ngirim i gave crush on
1,tindas lemah menang lawan kuat pengecut ishida bleach animequote
1,pengecut
1,lelaki wanita nang lelaki pengecut lelaki nang wanita lelaki cemen adil d
-1,tweet nya hapus udah kondusif sampe bilang tolol panggil pengecut la
1,pimpin pengecut
1,gerombol anti islam tindak
1,eaa pelatuk suka karakter yaa ah munafik
1,munafik bangett sayang mas nang d tinggal
-1,orang munafik gampang tebak dlm hp bokep
1,anggap kok jujur munafik bersi
1,kerja pikir orang munafik mikir tentang uang uang uang bodo dg orang
1,mat celaka hai ahli taurat orang farisi hai orang munafik puluh selasih adas manis sabda
-1,contoh orang munafik akut
1,nama temen percaya kalo dibaiikin tau ujung nya munafik
-1,suka momen munafik banget gimana
-1,emang suka nama manusia normal munafik emang lihat
-1,gerombol siang malam ngatain anies politik identitas kampanye ca
-1,ciri orang munafik janji gitulah
1,munafik kalo bilang iri
-1,munafik neng banget kalo dapet kerja gibah pikir
1,untung orang mikirannya kali ragu brkali kwkwk engga udah panik beli membrship
1,luar emang enak ky gin aneh
1,waras sumpah yaallah aneh
1,untung baca beli novel gimana aneh aja baca novel mencamp
1,udah kuat aneh gone
1,kanan emang anak aneh
1,nie coret coret aja trimakasi suda partisipasi silah adopt dozo yoroshiku onegaishima
1,mikirin agama pacar aneh
1,punyaa  st akun erel nd isi aneh aneh rd foto foto bagus pengen post
1,makenya tangan kanan aneh banget ngapa ngapain pake tangan
1,orang orang gasuka kalo taehyung having fun aneh banget
1,aja it s not like we own the name christ aneh
1,suka gunung aneh banget
1,kanan sender bilang aneh temen
1,sekolah offline emang pake baju bebas heran aneh banget wajib pake seragam
1,temen osis nya langsung surup sempet kaget ni bocah gara gara osis nya gamten
1,suka aneh aneeh
1,pikir aneh baik pawang hujan
1,kalo rini suka aneh suka kadang kayak nenek
1,otak emang suka aneh
1,aneh cewek rela jual alesan nya bayar kuliah kampus nya aja
