sentiment,STEMMED,label_encoder
1,anjing,netral
1,anjing rame banget,netral
1,anjing lacak cari sangka tangkap kejar cari barang bukti cari mayat,netral
1,yaallah kulit gaada luka kasi meng nya dingin berani banget anjing petshopnya kesel,netral
1,bener pala kucing anjing,netral
1,anjing,netral
1,anjing kaget hot banget by the way huh hah,netral
1,anjing,netral
-1,tau bodoh seperti anjing,negatif
1,yang bener kucing anjing,netral
1,ngomtol anjing lucunyah,netral
1,tau dapet anjing,netral
1,alias anjing gapunya uang,netral
1,motor anjing maksud,netral
1,tonjok muka anjing,netral
-1,anjing khayal nya parah poper udah tolong fans mu,negatif
1,anjing,netral
1,anjing,netral
1,anjing,netral
1,pasu nasi bungkus anjing,netral
1,anjing,netral
1,handsome nya kurus handsome sharp jawline peh time reject hah padan muka ber,netral
1,orang minta program kurus minum alkohol,netral
1,kurus luar titip nasi padang,netral
1,kurus,netral
1,risau akulaku kredivo kreditpintar gestun,netral
1,ngerasa jona kurus asa doang efek foto,netral
1,kurus,netral
1,bin kurus samping wonho,netral
-1, pendek kurus sm baju ngembang gitu,negatif
1,zaman svt kurus keding,netral
1,kurus abis nang bulan,netral
1,diet time kontrol kadaar gula darah banyak konsumsi buncis cepat kurus ,netral
1,bangett proporsi persis kurus tiang listrik,netral
1,lee moncet ni emma tolong baca baca kurus,netral
-1,kurus gering kurus kalo,negatif
1,zoo kucing aja umur udah transisi proplan kitten proplan adult salmon kucing ,netral
1,mending fokus ngurusin anak aja ngurusin kurus,netral
1,kurus kejap kurus tahun berat badan ideal,netral
1,tulang kering kaki ka kalo badan kurus rasa kalo ngesok wkk,netral
1,kurus,netral
1,day gering kurus,netral
1,lari aja udah ngap ngapan ban maunya kurus,netral
1,alyssa soebandono sakit dude harlino jelas,netral
1,pengen kurus,netral
1,kurus adeku lebih pendek isi face nya lbh boros,netral
1,bikin kurus,netral
1,kurus makan pisang aja,netral
1,pantesan denise tba kurus banget,netral
1,weh zuraida slim ni mak mak kurus ni tibah emo,netral
1,kalo minggu olahraga kurus kadang,netral
1,allah pengen kurus,netral
1,bikin kurus kalo panas banget,netral
1,colleague ni kurus her bmi is overweight obesity me bmi normal a haluih laki suk,netral
1,yorang tegur kurus,netral
1,istri kurus dude herlino buka suara sehat paham kembang newsrctiplus,netral
1,tubuh kurus alyssa soebandono sorot netizen kurus banget kak lombok insider,netral
1,orang kurus putih tangan lentik anak asrama sekolah swasta nama,netral
1,kak sumpit kurus,netral
1,sangka wawancara warga musim pilpres warga aka,netral
1,katain lulus anak because badan kurus mungil pendek,netral
1,pinggang gin gitu insecure dikatain kurus ,netral
1,kurus udah,netral
1,daftar kerja bioskop maa katae baek pribadi tinggi dapet berat badan,netral
1,hobi makan pengen kurus,netral
1,tips kurus,netral
1,bahagia rupa rumah tangga tegar septian cerai isteri,netral
1,info cepat kurus stress stress makan,netral
1,nasi merah biar kurus jare,netral
1,jom kurus icara teh tarik vset slim tekan link order,netral
1,diet sehat alami olahraga pede badan gendut wmp aja solusi more info bbm f c ca wa,netral
1,mas ngatain i tau gendut,netral
1,iri demen mukbang gendut gendut,netral
1,b daerah cimahi fun gendut gaycimahi gaybandung gaysangkuriang,netral
1,perut gendut sexy,netral
1,sayure ngerti ngerti kuliah jogja ngerti ngerti,netral
1,diet sehat alami olahraga pede badan gendut wmp aja solusi more info bbm ,netral
1,anya anya,netral
1,gas,netral
1,engga emang jari rada gendut kaya kenceng,netral
1,hayuu main bareng gm,netral
1,tiernya,netral
1,alias vale kntl udah maksa tau copoo,netral
1,iya,netral
-1,mas gendut,negatif
1,orang pake oversized bagus pake udah snorlax anjing gendut banget,netral
1,biarpun gendut muat hati,netral
1,fix sender,netral
1,aja,netral
1,tarik,netral
1,rumah,netral
1,mun wisata sama kaya ,netral
1,wisata mun wisata kuliner wisata aja,netral
1,dasar kaya basuh bjm hujan bjb,netral
1,doggy aja rawat sampe gendut sayang suami,netral
1,oh bjb hujan sabtu hanyar basuh kendara,netral
1,liat nganggur udah kerja liat gabut doang rumah rekening,netral
1,ritual panggil hujan,netral
1,gapapa gendut tetep muat hati,netral
1,pov simpel orang abigayl,netral
-1,emang udah tolol,negatif
1,baca komen awet,netral
1,prestasi nekat nyapres mainanya radikal radikul buzzerrp tolol,netral
1,orang tolol gasuka cokelat,netral
1,saran wireless earphone k bang,netral
1,kocak banget anying opininy orang tolol,netral
1,k original merk oase olike taun lbih awet,netral
1,vido,netral
-1,cowok tolol iya,negatif
-1,orang goblok otak pendek ngincer member sharing aja tolol,negatif
1,tolol twit abigayl tidak su,netral
1,beli goceng warna ungu lucu banget awet,netral
1,beli harga k suara enak awet,netral
-1,tolol kelar kelar,negatif
1,polisi ampe s tolol banget anjing gabisa tilang jabat aja kat,netral
-1,klaus emang tolol,negatif
1,beli rb nyesel awet,netral
1,always beli earphone nya samsung model langsung beli samsungnya,netral
1,beliin,netral
1,tolol anjing translate nya gimana,netral
1,gamau tolol aja kalo iya,netral
1,beli bis rebu,netral
-1,tolol tolol otak udah banyak maksiat,negatif
1,market place merek ginian dapet,netral
1,beli,netral
1,beli ,netral
-1,tolol banget,negatif
1,banyak main hp udah tolol banget,netral
1,kalo pinter tolol,netral
-1,mikirin tolol banget muti,negatif
1,pinter sapa tolol sapa,netral
1,tebus murah k an aja,netral
1,rebu,netral
1,rb,netral
1,eh iya sempet beli kayak gin awet aja pake tidur,netral
1,gada ngllink buka akun ig begitutolol banget,netral
-1,tolol banget,negatif
1,kesini dunia tolol,netral
-1,apa kah tolol,negatif
1,lol tolol maksud ,netral
1,duh nyesel,netral
1,tolol anime hokage,netral
1,laper tolol banget enih jari,netral
1,mantep cobain aja beli,netral
1,hha jancok tae maksud bg jeka gitu heh tolol koncek bantuak,netral
1,ayam bebek beda spesies tolol laki laki perempuan manusia ,netral
1,gin tolol kasi tau bayang bayang orang gang nonmus dijadiin muslim ,netral
1,emang tolol anak caoek,netral
1,main tolol puji,netral
1,isukana geus ruksak,netral
1,kak kalo earphone nya dipake doang dengerin samb,netral
1,rio tolol tolol kali bangsat ni orang stop tolol,netral
1,gara gara bego bawa bendera palestine hujat negara tolol,netral
-1,orang tolol dunia,negatif
1,liat laku tolol tolong baik,netral
1,proses siri bincang umno keras mahu bebas kluster mahkamah anwa,netral
1,januari kemarin gagal suka adem,netral
1,bank bpjamsostek bank bri bni bjb btn mandiri,netral
1,reklamasi dukung opung luhut tri urus gagal tanagan anies,netral
1,orang sukses orang gagal serah,netral
1,de paula beli jdt beliau minit main rana johor,netral
1,jujur cape main gagal fullcomb mulu,netral
1,suka gagal kalo ambil selca kayak gini hp butut tangan suka tremor,netral
1,gagal bangkit turut arti kuat hinta hyuuga,netral
1,iyaa banget banyak whatsapp fake beneran bejejer jej,netral
1,pake paypal kaya emang engga bener admin go pake paypal gagal,netral
1,min upgrade ovo premier gagal scan wajah crash mulu appsnya fixing,netral
1,gagal hidup sehat,netral
1,kaya berat naikkin harga pertalite itu bijak populisnegara udah gagal,netral
1,special delivery hidup jang eun kurir antar paket khusus gagal mi,netral
1,orang sukses lebih orang gagal lebih alas,netral
1,halo true mau jalan menyesa,netral
1,orang sukses lebih orang gagal lebih alas,netral
1,selamat siang djp online download e form gagal und,netral
1,mass paham maksut politik yakan gab,netral
1,sengsara gagal sukses,netral
1,ngutuk rezeki cuman tau laluin tahun susa,netral
1,yuk sayang beban,netral
1,tsk adara decak cerita anggap dongeng anak anak keha,netral
1,letak beban soket selamat,netral
1,capek hidup sapi perah dikatain beban,netral
1,beban mental lumayan,netral
1,go jt wangsit buku k gojek bolak les yallah k les les minggu sadar,netral
1,atur terbang bbm pakai jalan lebih konsumsi,netral
1,tuju utama sebenernya adik pergi ngejar ambisi mikir k,netral
1,alhamdillah latih motor sel tetap beban temen,netral
1,biasa cuci piring kotor dapur cepat laku beban jaga bersih dapur ringan,netral
1,kalo kaya gin mending solo beban,netral
1,iya enak bangun bangun udah gada beban,netral
1,senang beban,netral
1,ekspektasi masyarakat tampil anies rasyid baswedan jadi biaya kampanye capresnya san,netral
1,senyum beban,netral
1,tatap langit bagi cerita harap beban bagi teriak semesta cu,netral
1,anak ngerti ngmg aja emang sbnrnya kakak tai dibilangin peduli da,netral
1,happy beban hidup,netral
1,neil ryan percaya scott main mufc tanggung beban sa,netral
1,main oke troll ganggu menang tim beban sat orang all ro,netral
1,pengecut kolak,netral
1,pengecut apa,netral
1,follow akun pengecut kayak gin min ampun,netral
1,pengecut zonk cermin runahnya,netral
-1,oalaah pengecut,negatif
1,biar pengecut pengecut tualang sherina,netral
1,pengecut mati kali mati berani mati mutiarakata,netral
1,mati diri hati diri pengecut versi live rilis channel youtube malam,netral
1,pengecut jatuh hati perhati pasti fiersa besa,netral
1,bilang aja kalo udaa orang udah sayang asa udah basi hubung,netral
1,berani berani aku pengecut pasang najib aka curi ni,netral
-1,lari dasar pengecut kamado tanjiro,negatif
1,gitu pengecut gaberani akun base bikin ricuh,netral
1,pengecut gitu maennya dibase,netral
1,emang jiu pergi sepenuh salah joe berani ngomong sej,netral
1,bacoot share lok aja cundang pengecut,netral
1,aja cakep kalo harga d rkbot gilir depan gaberani kalo diblkg ngmgin pengecut d rkbot,netral
-1,pake akun pengecut lagak sok jago,negatif
1,muskoplak laki pengecut nusantara b hukum p buat s,netral
-1,mental pengecut gantung bahagia orang kalo lepas depresi b,negatif
-1,main playing victim entar biar kaum mek dateng pengecut,negatif
-1,sumpeh kaya benci orang tolol goblok pengecut kenal bacot but,negatif
1,pengecut,netral
1,tindas lemah menang lawan kuat pengecut ishida bleach,netral
1,lari dasar pengecut kamado tanjiro,netral
1,beking pengecut ,netral
1,manajemen udah mannered pengecut,netral
1,pengecut jatuh hati perhati pasti,netral
1,turun nama pengecut pengecut pion dijadiin tumbal,netral
1,pengecut,netral
1,pengecut jatuh hati perhati pasti,netral
-1,stress orang iri blg boss pengecut banget,negatif
1,mati diri hati diri pengecut versi live rilis channel youtube malam,netral
1,orang orang hukum keroyokan pengecut ,netral
1,pengecut loh,netral
-1,ciri ciri pengecut,negatif
1,ganti presiden inkonstitusional sampe kaos aja larang jokowi ,netral
1,pengecut sender ngirim i gave crush on,netral
1,tindas lemah menang lawan kuat pengecut ishida bleach animequote,netral
1,pengecut,netral
1,lelaki wanita nang lelaki pengecut lelaki nang wanita lelaki cemen adil d,netral
-1,tweet nya hapus udah kondusif sampe bilang tolol panggil pengecut la,negatif
1,pimpin pengecut,netral
1,gerombol anti islam tindak,netral
1,eaa pelatuk suka karakter yaa ah munafik,netral
1,munafik bangett sayang mas nang d tinggal,netral
-1,orang munafik gampang tebak dlm hp bokep,negatif
1,anggap kok jujur munafik bersi,netral
1,kerja pikir orang munafik mikir tentang uang uang uang bodo dg orang,netral
1,mat celaka hai ahli taurat orang farisi hai orang munafik puluh selasih adas manis sabda,netral
-1,contoh orang munafik akut,negatif
1,nama temen percaya kalo dibaiikin tau ujung nya munafik,netral
-1,suka momen munafik banget gimana,negatif
-1,emang suka nama manusia normal munafik emang lihat,negatif
-1,gerombol siang malam ngatain anies politik identitas kampanye ca,negatif
-1,ciri orang munafik janji gitulah,negatif
1,munafik kalo bilang iri,netral
-1,munafik neng banget kalo dapet kerja gibah pikir,negatif
1,untung orang mikirannya kali ragu brkali kwkwk engga udah panik beli membrship,netral
1,luar emang enak ky gin aneh,netral
1,waras sumpah yaallah aneh,netral
1,untung baca beli novel gimana aneh aja baca novel mencamp,netral
1,udah kuat aneh gone,netral
1,kanan emang anak aneh,netral
1,nie coret coret aja trimakasi suda partisipasi silah adopt dozo yoroshiku onegaishima,netral
1,mikirin agama pacar aneh,netral
1,punyaa  st akun erel nd isi aneh aneh rd foto foto bagus pengen post,netral
1,makenya tangan kanan aneh banget ngapa ngapain pake tangan,netral
1,orang orang gasuka kalo taehyung having fun aneh banget,netral
1,aja it s not like we own the name christ aneh,netral
1,suka gunung aneh banget,netral
1,kanan sender bilang aneh temen,netral
1,sekolah offline emang pake baju bebas heran aneh banget wajib pake seragam,netral
1,temen osis nya langsung surup sempet kaget ni bocah gara gara osis nya gamten,netral
1,suka aneh aneeh,netral
1,pikir aneh baik pawang hujan,netral
1,kalo rini suka aneh suka kadang kayak nenek,netral
1,otak emang suka aneh,netral
1,aneh cewek rela jual alesan nya bayar kuliah kampus nya aja,netral
